编号,钢厂,日期,时间,铜板,类型,Vx,Vy,Vc,Sticking_Expansion,Height,Width,Area,Edgenum,Gave,Fourier,,
43,南钢,2015/7/16,07:09:54,内弧宽面Tv,漏钢,0.423,-0.083,0.9,0.419,21.62,60.963,715.67,294,0.742,2.891,,
44,南钢,2015/7/16,07:10:55,内弧宽面Tv,稳态,0.056,0,0.4,0.629,7.285,49.879,227.92,155,0.988,0.448,,
45,南钢,2015/7/16,07:11:02,内弧宽面Tv,稳态,0.254,1.33,0.4,-0.478,14.1,31.867,328.368,163,0.454,0.542,,
46,南钢,2015/7/16,07:11:04,外弧宽面Tv,稳态,0.338,0.249,0.4,0.826,17.155,18.012,262.597,169,0.444,0.158,,
47,南钢,2015/7/16,07:11:26,内弧宽面Tv,漏钢,0.338,0.249,0.44,0.206,22.09,51.958,549.776,262,0.562,1.214,,
48,南钢,2015/7/16,07:11:11,内弧宽面Tv,稳态,0.31,-1.164,0.4,0.943,8.225,32.56,231.502,136,0.447,0.817,,
49,南钢,2015/7/21,16:05:47,外弧宽面Tv,稳态,0.085,0,0.9,-1829.194,2.585,12.902,23.851,37,0.345,1.4,,
50,南钢,2015/7/21,16:05:56,外弧宽面Tv,稳态,0.141,0,0.9,0.176,9.87,14.622,100.253,98,0.367,0.293,,
51,南钢,2015/7/21,16:06:10,外弧宽面Tv,稳态,0.056,-0.516,0.9,-0.076,4.935,17.202,69.733,65,0.39,2.785,,
52,南钢,2015/7/21,16:06:29,外弧宽面Tv,漏钢,0.338,-0.826,0.9,0.253,18.095,48.166,515.011,247,0.564,2.279,,
53,南钢,2015/7/22,12:55:07,外弧宽面Tv,稳态,0.31,0.516,0.9,1.126,11.045,24.08,225.341,129,1.415,0.461,,
54,南钢,2015/7/22,12:55:07,内弧宽面Tv,稳态,0.902,-2.27,0.9,2.567,20.68,258,3613.75,874,0.835,0.168,,
55,南钢,2015/7/22,12:55:12,外弧宽面Tv,稳态,0.226,0.103,0.9,0.398,23.5,156.52,2692.376,649,0.928,0.684,,
56,南钢,2015/7/25,11:56:22,外弧宽面Tv,稳态,0.028,0.203,0.6,-0.741,1.88,14.394,18.704,35,0.326,0.476,,
