编号,钢厂,日期,时间,铜板,类型,Vx,Vy,Vc,Sticking_Expansion,Height,Width,Area,Edgenum,Gave,Fourier,,
184,南钢,2016/8/5,17:34:53,外弧宽面Tv,稳态,0.141,-0.31,0.7,-0.062,23.5,153.952,2491.682,695,0.582,0.6,,
185,南钢,2016/8/5,17:34:53,内弧宽面Tv,误报,0.197,0.31,0.7,-0.103,23.5,110.949,1443.712,407,0.633,1.655,,
186,南钢,2016/8/7,12:05:39,内弧宽面Tv,误报,0.536,0.582,0.9,-807.205,13.395,27.018,185.918,147,0.356,0.414,,
187,南钢,2016/8/7,12:05:47,内弧宽面Tv,稳态,0.902,1.247,0.9,-0.442,23.5,21.476,218.641,238,0.326,0.079,,
188,南钢,2016/8/7,12:51:56,外弧宽面Tv,稳态,0.536,0.998,0.9,2.202,14.335,48.494,315.181,225,0.512,0.864,,
189,南钢,2016/8/7,12:52:05,外弧宽面Tv,稳态,0.705,0.249,0.9,-14.986,23.5,34.638,589.988,266,0.414,0.257,,
190,南钢,2016/8/7,12:52:12,外弧宽面Tv,稳态,0.564,-0.831,0.9,0.153,23.5,93.524,1289.866,418,0.544,0.601,,
191,南钢,2016/8/7,12:52:29,内弧宽面Tv,稳态,0.056,0,0.9,0.528,3.525,12.47,28.49,47,0.394,2.486,,
192,南钢,2016/8/7,12:52:50,内弧宽面Tv,误报,0.423,-1.081,0.12,0.643,23.5,67.198,1228.816,380,0.688,2.366,,
193,南钢,2016/8/7,14:40:21,内弧宽面Tv,稳态,0.085,-0.083,0.9,-0.502,3.995,18.705,50.956,63,0.35,0.845,,
194,南钢,2016/8/7,14:40:28,内弧宽面Tv,稳态,0.028,-2.411,0.9,0.54,4.465,57.5,193.407,170,0.448,0.168,,
195,南钢,2016/8/7,14:40:33,内弧宽面Tv,稳态,0.79,-0.499,0.9,1.065,20.68,54.036,768.254,388,0.556,1.674,,
196,南钢,2016/8/7,14:40:44,内弧宽面Tv,误报,0.395,1.247,0.9,-0.111,23.5,52.65,823.932,310,0.504,0.839,,
197,南钢,2016/8/7,14:41:05,内弧宽面Tv,稳态,0.592,-1.496,0.1,1.126,18.8,43.642,310.445,244,0.38,0.508,,
198,南钢,2016/8/14,07:07:12,内弧宽面Tv,误报,0.169,-0.103,0.3,1.446,6.815,101.692,410.919,255,0.477,0.2,,
199,南钢,2016/8/14,19:11:51,内弧宽面Tv,稳态,0.254,0.403,0.6,1.584,6.58,37.77,164.501,107,0.441,0.863,,
200,南钢,2016/8/14,19:11:52,内弧宽面Tv,误报,0.056,0.806,0.6,0.722,6.11,41.967,168.051,119,0.4,0.449,,
201,南钢,2016/8/15,15:13:19,外弧宽面Tv,稳态,0.085,-0.929,0.55,-0.115,23.5,60.207,844.068,315,0.391,0.744,,
202,南钢,2016/8/15,15:13:19,内弧宽面Tv,稳态,0.338,0,0.55,0.674,14.1,39.565,360.184,165,0.532,1.232,,
203,南钢,2016/8/15,15:13:31,内弧宽面Tv,稳态,0.197,0.103,0.55,-0.638,19.27,29.243,444.065,185,0.437,0.146,,
204,南钢,2016/8/15,15:13:37,内弧宽面Tv,稳态,0.056,-1.548,0.55,-10.848,23.5,58.487,621.934,270,0.541,0.185,,
205,南钢,2016/8/15,15:13:47,内弧宽面Tv,稳态,0.31,1.239,0.55,0.527,22.795,48.166,822.036,239,0.658,0.314,,
206,南钢,2016/8/15,15:13:55,内弧宽面Tv,误报,0.254,0.722,0.55,-0.088,23.5,122.994,1789.601,464,0.583,2.129,,
207,南钢,2016/8/15,15:14:08,内弧宽面Tv,稳态,0.367,-1.445,0.55,-57.344,10.81,27.523,174.837,123,0.412,0.749,,
208,南钢,2016/8/15,19:50:14,外弧宽面Tv,稳态,0.056,-0.206,0.55,0.45,3.525,22.363,44.669,62,0.339,0.549,,
209,南钢,2016/8/15,19:50:49,外弧宽面Tv,误报,0.282,-0.206,0.55,1.979,8.46,24.943,129.157,100,0.402,0.987,,
210,南钢,2016/8/15,19:50:54,外弧宽面Tv,稳态,0.028,1.239,0.55,-0.506,9.165,20.642,91.966,97,0.337,0.437,,
211,南钢,2016/8/15,19:50:58,外弧宽面Tv,稳态,0.254,1.342,0.38,1.78,5.875,39.565,162.912,106,0.388,0.572,,
212,南钢,2016/8/15,23:51:36,内弧宽面Tv,误报,0.085,-0.667,0.09,-0.047,8.93,37.516,223.506,137,1.04,1.005,,
213,南钢,2016/8/17,07:41:51,内弧宽面Tv,稳态,0.056,0.166,0.9,-498.878,2.585,10.39,20.022,37,0.327,1.101,,
214,南钢,2016/8/17,07:42:19,外弧宽面Tv,稳态,0.169,0.249,0.9,0.646,8.93,27.707,173.683,120,0.722,1.453,,
215,南钢,2016/8/17,07:42:24,外弧宽面Tv,漏钢,0.395,-1.081,0.9,0.937,21.15,63.725,710.683,285,0.671,3.749,,
216,南钢,2016/8/17,07:42:37,内弧宽面Tv,稳态,0.028,0.416,0.72,-0.028,3.76,30.477,86.923,94,0.458,0.278,,
217,南钢,2016/8/17,07:51:02,外弧宽面Tv,稳态,1.043,1.33,0.85,2.136,23.5,56.799,858.484,294,0.486,0.942,,
218,南钢,2016/8/17,07:51:13,外弧宽面Tv,稳态,0.056,0.249,0.85,-0.246,13.865,32.555,336.134,164,0.386,0.226,,
219,南钢,2016/8/17,07:51:19,外弧宽面Tv,稳态,0.564,-0.499,0.85,-15.857,23.5,38.789,560.928,222,0.363,0.503,,
220,南钢,2016/8/17,07:51:40,内弧宽面Tv,稳态,0.141,-0.914,0.85,0.515,11.28,63.725,492.725,234,0.523,0.368,,
221,南钢,2016/8/17,07:51:41,外弧宽面Tv,漏钢,0.31,0.332,0.85,0.576,16.92,31.17,333.367,185,0.465,0.484,,
222,南钢,2016/8/17,07:51:43,内弧宽面Tv,稳态,0.028,-0.166,0.85,0.598,7.285,38.789,207.377,134,0.486,0.646,,
223,南钢,2016/8/17,13:17:48,内弧宽面Tv,稳态,0.169,-0.083,0.9,0.358,4.935,9.006,33.538,54,0.351,0.58,,
224,南钢,2016/8/17,13:18:04,外弧宽面Tv,稳态,0.113,0.748,0.9,-1613.46,3.055,15.934,33.701,52,0.365,0.694,,
225,南钢,2016/8/17,13:18:14,内弧宽面Tv,误报,0.705,0.083,0.9,1.259,18.565,20.09,319.414,187,0.526,0.167,,
226,南钢,2016/8/18,14:53:31,外弧宽面Tv,稳态,1.354,0.665,0.9,1.575,23.5,47.108,698.576,317,0.699,0.63,,
227,南钢,2016/8/18,14:53:32,内弧宽面Tv,稳态,0.931,0.665,0.56,-0.046,23.5,25.632,243.386,262,0.351,0.206,,
228,南钢,2016/8/18,14:53:35,外弧宽面Tv,误报,1.1,0.831,0.1,1.001,23.03,52.65,756.858,279,0.574,1.033,,
229,南钢,2016/8/18,14:53:35,内弧宽面Tv,稳态,0.959,0.665,0.1,0.753,22.795,18.705,310.948,211,0.461,0.107,,
230,南钢,2016/8/20,00:44:04,外弧宽面Tv,稳态,0.085,-0.722,0.75,0.904,2.585,20.642,43.052,56,0.366,0.366,,
231,南钢,2016/8/20,00:44:39,外弧宽面Tv,稳态,0.226,-0.31,0.75,-113.681,4.935,21.503,81.052,71,0.437,1.741,,
232,南钢,2016/8/20,00:56:31,外弧宽面Tv,误报,0.197,1.032,0.75,0.975,8.695,29.243,128.348,106,0.431,1.31,,
233,南钢,2016/8/20,00:56:35,外弧宽面Tv,稳态,0.056,-0.826,0.75,-0.013,5.17,29.243,95.2,80,0.461,1.144,,
234,南钢,2016/8/20,00:56:39,外弧宽面Tv,稳态,0.254,-1.135,0.75,0.041,15.275,34.404,133.199,172,0.376,0.406,,
235,南钢,2016/8/20,00:56:45,外弧宽面Tv,稳态,0.028,0.206,0.75,-0.514,2.585,18.062,35.776,48,0.381,0.517,,
236,南钢,2016/8/22,05:10:31,内弧宽面Tv,稳态,0.028,0.516,0.75,0.107,5.405,24.083,101.466,81,0.559,1.856,,
237,南钢,2016/8/22,05:10:43,内弧宽面Tv,误报,0.79,0.929,0.75,1.4,17.39,32.684,268.016,171,0.448,0.185,,
238,南钢,2016/8/22,05:10:49,内弧宽面Tv,稳态,1.241,-2.787,0.01,-15.499,21.15,33.544,528.755,198,0.729,0.148,,
239,南钢,2016/8/22,05:34:22,外弧宽面Tv,稳态,0.085,-0.206,0.75,1.098,3.055,12.041,25.872,40,0.353,14.292,,
240,南钢,2016/8/22,05:34:25,外弧宽面Tv,稳态,1.466,1.445,0.75,1.52,23.5,61.927,353.514,280,0.398,0.292,,
241,南钢,2016/8/22,05:34:34,外弧宽面Tv,误报,1.523,2.89,0.75,1.989,23.5,60.207,498.639,346,0.411,1.104,,
242,南钢,2016/8/22,05:34:42,外弧宽面Tv,稳态,0.367,0.619,0.75,1.668,7.99,16.342,88.53,84,0.331,0.523,,
243,南钢,2016/8/22,05:34:52,外弧宽面Tv,稳态,0.028,-1.135,0.75,-1453.025,0.94,10.321,7.883,24,0.319,2.147,,
244,南钢,2016/8/22,05:46:24,内弧宽面Tv,稳态,0.056,0,0.75,-1.145,4.7,12.041,45.478,54,0.347,0.773,,
245,南钢,2016/8/22,05:46:29,内弧宽面Tv,误报,0.197,0.103,0.75,0.925,9.4,21.503,137.242,103,0.596,0.658,,
246,南钢,2016/8/22,05:46:31,内弧宽面Tv,稳态,0.141,0.103,0.75,0.488,8.695,18.062,122.689,95,0.447,0.498,,
247,南钢,2016/8/22,05:46:46,内弧宽面Tv,稳态,0.113,0,0.75,0.604,4.23,17.202,44.467,53,0.426,4.246,,
248,南钢,2016/8/23,10:29:56,内弧宽面Tv,稳态,0.085,0.206,0.75,-2352.918,2.82,12.041,26.276,38,0.367,2.106,,
249,南钢,2016/8/23,10:30:16,内弧宽面Tv,稳态,0.141,-2.064,0.75,1.895,4.23,44.725,135.625,116,0.428,0.208,,
250,南钢,2016/8/23,10:30:23,外弧宽面Tv,漏钢,0.931,2.064,0.75,1.091,23.5,44.725,373.928,255,0.377,0.233,,
251,南钢,2016/8/23,10:30:39,内弧宽面Tv,稳态,0.169,-0.206,0.75,0.996,6.58,18.063,85.299,76,0.485,1.121,,
252,南钢,2016/8/23,21:30:39,外弧宽面Tv,误报,0.056,-1.858,0.75,-69.86,17.86,24.943,334.312,165,0.469,0.212,,
253,南钢,2016/8/23,21:31:06,外弧宽面Tv,稳态,1.551,-2.271,0.75,-26.406,23.5,38.705,429.512,245,0.75,0.221,,
254,南钢,2016/8/23,21:31:06,内弧宽面Tv,稳态,0.113,0,0.75,0.988,2.82,18.922,41.233,51,0.384,0.554,,
255,南钢,2016/8/24,06:42:00,外弧宽面Tv,稳态,0.056,-1.132,0.7,0.165,3.29,14.578,34.863,45,0.326,2.02,,
256,南钢,2016/8/24,06:42:16,外弧宽面Tv,稳态,0.056,1.441,0.7,-1375.387,2.585,10.29,19.144,32,0.327,17.838,,
257,南钢,2016/8/24,06:42:21,外弧宽面Tv,误报,0.254,-1.749,0.7,-186.748,7.755,21.438,125.547,92,0.536,1.074,,
258,南钢,2016/8/24,12:05:40,内弧宽面Tv,稳态,0.338,0,0.75,1.579,7.285,19.723,120.509,87,0.573,1.058,,
259,南钢,2016/8/24,12:05:50,内弧宽面Tv,稳态,0.085,-1.749,0.75,-1269.409,4.7,8.575,31.639,48,0.384,0.402,,
260,南钢,2016/8/24,12:05:58,内弧宽面Tv,稳态,0.254,-1.544,0.75,1.257,8.93,28.299,204.543,115,0.849,1.985,,
261,南钢,2016/8/24,12:05:59,右侧窄面Tv,误报,0.959,-0.078,0.75,-47.09,19.27,22.75,256.467,180,0.455,0.166,,
262,南钢,2016/8/24,12:06:09,内弧宽面Tv,稳态,0.141,-2.161,0.35,-2.368,7.52,17.151,101.969,83,0.533,0.661,,
263,南钢,2016/8/29,11:18:24,内弧宽面Tv,稳态,0.197,0.103,0.7,1.06,7.99,24.943,163.518,103,0.547,1.591,,
264,南钢,2016/8/29,11:18:30,内弧宽面Tv,稳态,0.085,-1.239,0.7,1.438,8.695,72.248,410.311,222,0.557,0.336,,
265,南钢,2016/8/29,11:18:41,内弧宽面Tv,误报,0.874,-1.445,0.7,0.853,23.5,129.875,1845.792,601,0.623,1.3,,
266,南钢,2016/8/29,11:18:47,内弧宽面Tv,稳态,0.056,1.858,0.7,0.301,23.5,193.523,3128.67,716,0.559,0.321,,
267,南钢,2016/8/29,15:34:39,内弧宽面Tv,稳态,0.254,0.31,0.75,0.205,20.68,36.984,523.904,192,0.388,0.218,,
268,南钢,2016/8/29,15:35:05,内弧宽面Tv,稳态,0.226,0.31,0.75,1.505,7.52,30.104,164.933,104,0.487,2.531,,
269,南钢,2016/8/29,15:35:16,内弧宽面Tv,误报,0.423,2.787,0.75,0.618,17.86,105.792,898.035,413,0.464,0.947,,
270,南钢,2016/8/29,15:35:23,内弧宽面Tv,稳态,0.395,-1.651,0.75,0.725,23.5,141.917,2478.438,574,0.703,0.59,,
271,南钢,2016/8/31,21:20:28,外弧宽面Tv,稳态,0.62,0.722,0.7,1.943,15.51,18.062,142.295,150,0.452,0.212,,
272,南钢,2016/8/31,21:20:30,内弧宽面Tv,稳态,0.338,0.206,0.7,-781.736,9.87,27.523,138.657,118,0.422,0.8,,
273,南钢,2016/8/31,21:20:35,外弧宽面Tv,误报,0.31,0.103,0.7,0.571,20.445,22.363,356.155,198,0.817,0.101,,
274,南钢,2016/8/31,21:20:40,外弧宽面Tv,稳态,0.028,0,0.7,-0.557,23.5,29.243,228.602,234,0.359,0.203,,
275,南钢,2016/8/31,21:20:43,内弧宽面Tv,稳态,1.466,1.135,0.7,0.295,23.5,24.943,213.038,222,0.347,0.106,,
276,南钢,2016/9/2,06:01:48,内弧宽面Tv,稳态,0.085,1.833,0.8,-1175.907,2.115,9.718,15.007,33,0.347,1.125,,
277,南钢,2016/9/2,06:01:51,内弧宽面Tv,稳态,0.141,-0.75,0.8,-559.71,3.995,20.13,62.149,71,0.411,0.667,,
278,南钢,2016/9/2,06:02:16,左侧窄面Tv,误报,0.733,0,0.8,1.637,13.63,9.1,103.259,123,0.34,0.084,,
279,南钢,2016/9/2,06:02:29,内弧宽面Tv,稳态,0.141,0.167,0.65,0.889,5.17,20.13,66.88,73,0.376,1.55,,
280,南钢,2016/9/4,23:32:08,外弧宽面Tv,误报,0.282,-1.965,0.75,-0.118,13.16,26.716,172.752,135,0.394,0.29,,
281,南钢,2016/9/4,23:32:20,外弧宽面Tv,稳态,0.085,-0.414,0.75,1.342,2.585,25.853,46.781,62,0.358,0.326,,
282,南钢,2016/9/4,23:32:52,外弧宽面Tv,稳态,0.141,0,0.75,1.145,5.17,17.236,53.264,62,0.427,1.682,,
283,南钢,2016/9/4,23:32:58,外弧宽面Tv,稳态,0.254,-1.965,0.21,-415.517,6.345,20.682,91.942,79,0.563,1.472,,
284,南钢,2016/9/5,08:41:21,外弧宽面Tv,误报,1.072,-1.551,0.75,1.155,20.21,33.61,350.365,196,0.623,0.201,,
285,南钢,2016/9/6,01:10:59,内弧宽面Tv,稳态,0.31,-2.064,0.75,0.786,7.52,25.803,130.572,96,0.397,2.395,,
286,南钢,2016/9/6,01:11:05,内弧宽面Tv,误报,1.015,2.684,0.75,0.603,21.15,40.425,410.917,227,0.646,0.316,,
287,南钢,2016/9/6,01:11:08,外弧宽面Tv,稳态,0.141,2.993,0.75,-166.052,5.17,12.041,46.286,57,0.367,0.615,,
288,南钢,2016/9/6,01:11:25,外弧宽面Tv,稳态,0.31,-1.858,0.75,-171.893,8.225,7.741,58.012,77,0.312,0.071,,
289,南钢,2016/9/6,01:11:33,外弧宽面Tv,稳态,0.169,0,0.75,-770.262,4.465,11.181,35.776,48,0.352,0.92,,
290,南钢,2016/9/6,01:12:27,外弧宽面Tv,误报,0.423,-2.89,0.4,-1.41,14.1,21.503,207.985,139,0.398,0.145,,
291,南钢,2016/9/6,01:12:39,外弧宽面Tv,稳态,0.141,1.342,0.4,1.766,4.465,43.005,141.486,111,0.532,0.258,,
292,南钢,2016/9/6,01:12:44,外弧宽面Tv,稳态,0.028,1.032,0.4,-0.356,4.7,29.243,104.296,83,0.627,0.674,,
293,南钢,2016/9/6,01:12:46,内弧宽面Tv,稳态,0.085,1.858,0.4,-986.882,2.115,14.622,21.627,37,0.367,0.57,,
294,南钢,2016/9/6,01:12:50,外弧宽面Tv,稳态,0.931,-1.135,0.4,-30.086,16.685,23.223,311.674,155,0.485,0.1,,
295,南钢,2016/9/8,12:02:12,内弧宽面Tv,稳态,0.508,1.43,0.7,-98.719,13.395,15.05,112.436,135,0.379,0.314,,
296,南钢,2016/9/8,12:02:43,内弧宽面Tv,稳态,0.056,1.58,0.7,-926.975,2.585,13.168,26.23,49,0.415,0.415,,
297,南钢,2016/9/8,12:02:47,内弧宽面Tv,误报,0.902,-1.655,0.68,1.038,19.27,29.471,323.145,203,0.468,0.31,,
298,南钢,2016/9/9,20:03:18,内弧宽面Tv,稳态,0.282,-2.166,0.7,1.283,7.05,12.494,67.203,78,0.382,0.558,,
299,南钢,2016/9/9,20:03:28,外弧宽面Tv,稳态,0.113,0.583,0.7,0.964,6.345,28.459,117.774,100,0.412,1.024,,
300,南钢,2016/9/9,20:03:40,外弧宽面Tv,误报,1.072,2.416,0.7,-29.781,23.5,53.448,471.421,279,0.399,0.193,,
301,南钢,2016/9/9,20:03:45,内弧宽面Tv,稳态,0.028,1.416,0.7,-0.544,3.055,13.189,29.363,47,0.362,0.845,,
302,南钢,2016/9/9,20:03:50,外弧宽面Tv,稳态,0.226,-0.75,0.7,-14.773,23.5,67.331,739.592,308,0.605,0.249,,
303,南钢,2016/9/11,06:52:53,内弧宽面Tv,误报,1.551,2.993,0.6,-18.523,23.5,69.668,469.331,302,0.511,0.274,,
304,南钢,2016/9/11,06:53:01,内弧宽面Tv,稳态,0.056,2.167,0.6,-634.791,2.585,11.181,20.01,34,0.342,2.94,,
305,南钢,2016/9/11,06:53:12,外弧宽面Tv,稳态,0.085,-0.206,0.1,0.857,3.29,17.202,42.244,50,0.44,1.007,,
306,南钢,2016/9/16,11:14:16,外弧宽面Tv,稳态,0.226,0.749,0.75,1.261,7.285,31.206,166.55,115,0.499,0.92,,
307,南钢,2016/9/16,11:14:28,外弧宽面Tv,误报,0.536,-0.499,0.75,0.78,20.915,58.945,931.343,283,0.766,2.121,,
308,南钢,2016/10/5,13:57:22,外弧宽面Tv,稳态,0.169,1.53,0.65,-1028.609,5.405,16.388,64.472,75,0.398,2.434,,
309,南钢,2016/10/5,13:57:32,外弧宽面Tv,误报,0.226,1.238,0.65,-288.628,7.285,8.498,47.641,76,0.442,0.308,,
310,南钢,2016/10/5,13:57:36,左侧窄面Tv,稳态,0.028,0,0.65,-0.156,6.11,8.333,39.754,60,0.397,0.268,,
311,南钢,2016/10/10,16:37:40,内弧宽面Tv,误报,0.592,-1.731,0.9,-23.028,19.74,29.472,399.789,201,0.455,0.271,,
312,南钢,2016/10/12,05:43:09,内弧宽面Tv,误报,0.056,0,0.3,0.603,5.405,18.152,69.469,67,0.603,2.523,,
313,南钢,2016/10/13,01:43:21,外弧宽面Tv,稳态,0.79,0,0.75,-9.634,17.155,14.651,208.801,158,0.379,0.088,,
314,南钢,2016/10/13,01:43:23,内弧宽面Tv,稳态,0.987,0.62,0.75,1.63,20.445,49.123,630.859,232,0.657,0.421,,
315,南钢,2016/10/13,01:43:34,内弧宽面Tv,稳态,0.338,0.31,0.75,0,23.5,34.472,559.369,258,0.555,0.139,,
316,南钢,2016/10/13,01:43:41,内弧宽面Tv,误报,0.169,2.689,0.75,-5.335,23.5,109.449,1398.826,505,0.492,1.078,,
317,南钢,2016/10/13,01:43:57,内弧宽面Tv,稳态,0.197,-0.414,0.75,-0.105,23.5,32.748,622.556,231,0.625,0.118,,
318,南钢,2016/10/13,23:58:10,外弧宽面Tv,误报,0.141,-0.31,0.7,1.291,3.76,17.202,45.276,53,0.369,2.54,,
319,南钢,2016/10/14,16:51:09,外弧宽面Tv,稳态,0.028,-0.31,0.7,-1048.139,1.645,12.928,15.797,31,0.341,3.318,,
320,南钢,2016/10/14,16:51:19,外弧宽面Tv,稳态,0.028,0,0.7,-461.238,2.82,17.236,37.669,48,0.369,0.697,,
321,南钢,2016/10/14,16:51:26,内弧宽面Tv,稳态,0.085,1.448,0.7,1.343,3.055,39.643,99.236,97,0.543,0.187,,
322,南钢,2016/10/14,16:51:32,内弧宽面Tv,误报,0.959,1.551,0.7,0.788,21.62,38.781,441.5,225,0.686,0.216,,
323,南钢,2016/10/14,16:51:37,外弧宽面Tv,稳态,0.056,-0.31,0.7,0.01,4.23,19.822,56.709,60,0.376,2.194,,
324,南钢,2016/10/14,18:27:21,内弧宽面Tv,误报,0.79,-2.379,0.7,1.573,20.445,49.984,458.512,250,0.495,0.627,,
325,南钢,2016/10/14,18:27:28,内弧宽面Tv,稳态,0.62,0.414,0.7,0.898,13.865,18.098,182.878,136,0.386,0.125,,
326,南钢,2016/10/14,18:27:41,内弧宽面Tv,稳态,0.028,1.551,0.36,0.256,2.35,18.96,36.252,50,0.412,0.362,,
327,南钢,2016/10/15,00:09:47,内弧宽面Tv,稳态,0.902,-1.445,0.7,1.364,19.27,47.306,701.975,207,0.565,0.253,,
328,南钢,2016/10/15,00:09:52,内弧宽面Tv,误报,0.564,-2.993,0.7,-24.268,23.5,36.124,392.928,234,0.471,0.399,,
329,南钢,2016/10/15,00:09:59,内弧宽面Tv,稳态,2.03,-1.239,0.7,-15.979,23.5,74.829,556.244,373,0.476,0.883,,
330,南钢,2016/10/15,00:10:27,外弧宽面Tv,稳态,0.028,0.206,0.7,0.041,1.645,12.902,14.957,31,0.328,3.134,,
331,南钢,2016/10/15,00:10:30,内弧宽面Tv,稳态,0.197,-1.961,0.7,-45.642,14.57,14.622,175.847,136,0.403,0.077,,
332,南钢,2016/10/15,20:52:42,右侧窄面Tv,稳态,0.169,0.078,0,0.353,8.225,8.45,52.699,80,0.428,0.248,,
333,南钢,2016/10/15,20:53:13,内弧宽面Tv,稳态,0.197,0.25,0.4,1.622,6.815,57.624,258.434,173,0.68,0.306,,
334,南钢,2016/10/15,20:53:16,外弧宽面Tv,稳态,0.254,0.666,0.4,1.827,5.875,33.325,151.243,115,0.708,0.501,,
335,南钢,2016/10/15,20:53:27,外弧宽面Tv,稳态,0.113,0.583,0.4,0.398,2.585,14.58,26.268,46,0.353,0.624,,
336,南钢,2016/10/15,20:53:29,外弧宽面Tv,误报,0.282,-0.666,0.4,1.166,7.99,15.274,80.434,88,0.378,0.655,,
337,南钢,2016/10/17,19:32:06,内弧宽面Tv,误报,1.1,0.167,0.85,1.531,23.5,47.201,446.952,344,0.487,0.773,,
338,南钢,2016/10/17,19:32:12,内弧宽面Tv,稳态,0.874,-2.082,0.73,1.003,23.265,55.531,795.053,332,1.554,0.625,,
339,南钢,2016/10/22,04:32:05,外弧宽面Tv,误报,0.028,0.31,0.75,0.47,1.41,14.622,15.766,34,0.365,0.385,,
340,南钢,2016/10/22,04:32:56,内弧宽面Tv,误报,0.169,0.206,0.4,1.645,5.405,19.782,78.623,69,0.649,2.63,,
341,南钢,2016/10/22,04:32:59,外弧宽面Tv,稳态,0.056,-2.89,0.4,1.04,4.23,86.01,190.602,203,0.477,0.169,,
342,南钢,2016/10/22,04:33:04,内弧宽面Tv,稳态,0.028,-1.755,0.4,-1703.715,0.94,12.902,8.489,28,0.35,1.733,,
343,南钢,2016/10/22,15:24:03,内弧宽面Tv,误报,0.987,0.31,0.75,1.575,20.68,26.715,435.408,195,0.529,0.1,,
344,南钢,2016/10/26,09:26:03,右侧窄面Tv,误报,0.056,0,0.9,0.384,4.935,16.25,63.086,71,0.513,1.941,,
345,南钢,2016/10/27,16:18:37,内弧宽面Tv,误报,0.028,-0.515,0.13,-1457.267,0.94,9.434,6.853,21,0.326,2.463,,
346,南钢,2016/10/29,13:17:35,右侧窄面Tv,稳态,0.254,-0.078,0.8,-586.995,6.11,10.4,47.2,67,0.421,0.601,,
347,南钢,2016/10/29,13:17:51,内弧宽面Tv,稳态,0.705,-0.62,0.8,1.872,17.39,41.366,294.063,179,0.345,0.282,,
348,南钢,2016/10/29,13:17:57,内弧宽面Tv,稳态,0.254,-1.241,0.8,-0.458,23.5,255.955,4229.288,844,0.52,0.216,,
349,南钢,2016/10/29,13:18:01,外弧宽面Tv,误报,0.451,-0.62,0.8,-0.514,23.5,54.291,769.963,280,0.529,0.626,,
350,南钢,2016/10/29,13:18:06,内弧宽面Tv,稳态,0.085,-1.034,0.8,-0.727,23.5,75.838,1236.605,382,0.94,2.115,,
351,南钢,2016/10/29,18:25:06,外弧宽面Tv,误报,0.367,-0.103,0.8,1.154,10.105,13.762,91.764,98,0.377,0.23,,
352,南钢,2016/10/29,18:25:13,外弧宽面Tv,稳态,0.056,-0.516,0.8,-239.898,2.82,12.902,25.266,38,0.384,1.516,,
353,南钢,2016/10/29,18:25:28,右侧窄面Tv,稳态,0.536,0.78,0.41,1.053,15.51,18.85,117.618,156,0.363,0.24,,
354,南钢,2016/10/29,20:40:41,右侧窄面Tv,误报,0.085,0.156,0.8,0.423,4.935,11.7,42.006,59,0.38,1.786,,
355,南钢,2016/10/29,22:36:07,外弧宽面Tv,稳态,0.141,-0.103,0.8,-133.903,4.465,18.062,53.361,58,0.384,2.116,,
356,南钢,2016/10/29,22:36:11,外弧宽面Tv,误报,0.592,-0.103,0.8,-53.268,14.335,22.363,179.89,137,0.39,0.161,,
357,南钢,2016/10/29,22:36:21,外弧宽面Tv,稳态,1.241,1.651,0.8,1.476,23.5,34.404,370.897,231,0.571,0.324,,
358,南钢,2016/10/29,23:06:11,右侧窄面Tv,误报,0.085,-0.156,0.8,-465.987,3.995,7.8,21.843,44,0.341,0.896,,
359,南钢,2016/11/8,05:36:17,内弧宽面Tv,稳态,0.085,2.12,0.7,-612.449,3.055,12.517,27.165,43,0.419,1.319,,
360,南钢,2016/11/8,05:36:28,内弧宽面Tv,稳态,0.113,0.353,0.7,0.296,4.23,11.044,33.393,50,0.334,1.537,,
361,南钢,2016/11/8,05:36:54,内弧宽面Tv,误报,0.508,0,0.7,0.419,17.86,35.342,204.003,210,0.367,0.368,,
362,南钢,2016/11/8,05:37:03,内弧宽面Tv,稳态,0.056,0.265,0.24,0.899,3.76,19.143,59.693,67,0.4,0.618,,
363,南钢,2016/11/9,16:05:13,内弧宽面Tv,稳态,0.085,-0.222,0.7,0.396,4.935,15.76,56.642,58,0.366,1.467,,
364,南钢,2016/11/9,16:05:36,内弧宽面Tv,误报,1.438,-2.447,0.7,1.372,23.5,58.403,767.278,273,0.987,0.654,,
365,南钢,2016/11/10,01:10:42,外弧宽面Tv,稳态,0.169,-2.336,0.7,0.635,23.5,160.383,2411.718,617,0.428,0.432,,
366,南钢,2016/11/10,01:10:42,内弧宽面Tv,稳态,0.367,2.781,0.7,0.675,23.5,139.06,2084.927,547,0.504,0.548,,
367,南钢,2016/11/10,01:11:11,外弧宽面Tv,误报,0.085,0.334,0.7,-0.016,23.5,166.872,2703.433,595,0.846,0.599,,
368,南钢,2016/11/10,17:45:21,外弧宽面Tv,稳态,0.677,-1.224,0.7,1.555,14.57,16.686,172.098,141,0.348,0.16,,
369,南钢,2016/11/10,17:45:55,内弧宽面Tv,稳态,0.028,0.89,0.7,-0.011,3.055,19.467,46.837,52,0.397,0.674,,
370,南钢,2016/11/10,17:46:04,内弧宽面Tv,误报,0.846,-0.779,0,1.921,17.625,25.029,217.409,169,0.43,0.113,,
371,南钢,2016/11/13,10:11:41,外弧宽面Tv,稳态,0.367,-0.31,0.75,-14.857,23.5,39.643,617.088,247,0.493,0.375,,
372,南钢,2016/11/13,10:11:47,外弧宽面Tv,稳态,0.169,0.517,0.75,1.124,8.695,29.301,157.968,108,0.398,1.956,,
